Series/Set,Name,Price(>100.0),Image
swsh07-evolving-skies,Rayquaza VMAX (Alternate Art Secret),$172.91,https://tcgplayer-cdn.tcgplayer.com/product/246733_25w.jpg
swsh07-evolving-skies,Umbreon VMAX (Alternate Art Secret),$193.95,https://tcgplayer-cdn.tcgplayer.com/product/246723_25w.jpg
swsh06-chilling-reign,Blaziken VMAX (Alternate Art Secret),$100.99,https://tcgplayer-cdn.tcgplayer.com/product/241673_25w.jpg
shining-fates-shiny-vault,Charizard VMAX,$131.18,https://tcgplayer-cdn.tcgplayer.com/product/232496_25w.jpg
swsh04-vivid-voltage,Pikachu VMAX (Secret),$188.73,https://tcgplayer-cdn.tcgplayer.com/product/226434_25w.jpg
skyridge,Celebi,$499.99,https://tcgplayer-cdn.tcgplayer.com/product/84144_25w.jpg
skyridge,Flareon (H7),$299.99,https://tcgplayer-cdn.tcgplayer.com/product/85490_25w.jpg
skyridge,Kabutops (150),$300.00,https://tcgplayer-cdn.tcgplayer.com/product/86396_25w.jpg
skyridge,Ledian (H14),$125.83,https://tcgplayer-cdn.tcgplayer.com/product/86690_25w.jpg
skyridge,Magneton (H18),$120.00,https://tcgplayer-cdn.tcgplayer.com/product/87095_25w.jpg
skyridge,Moltres (H20),$311.65,https://tcgplayer-cdn.tcgplayer.com/product/87556_25w.jpg
skyridge,Xatu (H32),$179.99,https://tcgplayer-cdn.tcgplayer.com/product/90658_25w.jpg
skyridge,Alakazam (H1),$249.99,https://tcgplayer-cdn.tcgplayer.com/product/83498_25w.jpg
skyridge,Articuno (H3),$611.48,https://tcgplayer-cdn.tcgplayer.com/product/83644_25w.jpg
skyridge,Beedrill (H4),$167.03,https://tcgplayer-cdn.tcgplayer.com/product/83764_25w.jpg
skyridge,Crobat (147),$499.98,https://tcgplayer-cdn.tcgplayer.com/product/84485_25w.jpg
skyridge,Dewgong (H6),$224.99,https://tcgplayer-cdn.tcgplayer.com/product/84785_25w.jpg
skyridge,Forretress (H8),$180.99,https://tcgplayer-cdn.tcgplayer.com/product/85543_25w.jpg
skyridge,Golem,$262.50,https://tcgplayer-cdn.tcgplayer.com/product/85825_25w.jpg
skyridge,Houndoom (H11),$499.99,https://tcgplayer-cdn.tcgplayer.com/product/86200_25w.jpg
skyridge,Jolteon (H12),$129.00,https://tcgplayer-cdn.tcgplayer.com/product/86337_25w.jpg
skyridge,Kabutops (H13),$130.00,https://tcgplayer-cdn.tcgplayer.com/product/86391_25w.jpg
skyridge,Machamp (H15),$178.15,https://tcgplayer-cdn.tcgplayer.com/product/86958_25w.jpg
skyridge,Magcargo (H17),$111.40,https://tcgplayer-cdn.tcgplayer.com/product/87010_25w.jpg
skyridge,Magneton (H19),$115.00,https://tcgplayer-cdn.tcgplayer.com/product/87096_25w.jpg
skyridge,Nidoqueen (H21),$209.76,https://tcgplayer-cdn.tcgplayer.com/product/87703_25w.jpg
skyridge,Politoed (H23),$210.41,https://tcgplayer-cdn.tcgplayer.com/product/88247_25w.jpg
skyridge,Poliwrath (H24),$222.65,https://tcgplayer-cdn.tcgplayer.com/product/88272_25w.jpg
skyridge,Raichu (H25),$200.00,https://tcgplayer-cdn.tcgplayer.com/product/88502_25w.jpg
skyridge,Raikou (H26),$249.99,https://tcgplayer-cdn.tcgplayer.com/product/88531_25w.jpg
skyridge,Rhydon (H27),$175.92,https://tcgplayer-cdn.tcgplayer.com/product/88728_25w.jpg
skyridge,Starmie (H28),$249.99,https://tcgplayer-cdn.tcgplayer.com/product/89528_25w.jpg
skyridge,Steelix (H29),$150.00,https://tcgplayer-cdn.tcgplayer.com/product/89558_25w.jpg
skyridge,Vaporeon (H31),$395.09,https://tcgplayer-cdn.tcgplayer.com/product/90280_25w.jpg
